"x1" "x2" "x3" "x4" "x5" "y"
"1" 0.01 0.48 0.58 0.71 0.34 0
"2" 0.02 0.71 0.98 0.05 0.21 0
"3" 0.02 0.93 0.8 0.03 0.6 1
"4" 0.03 0.78 0.17 0.06 0.52 0
"5" 0.04 0.83 0.64 0.63 0.24 1
"6" 0.06 0.2 0.88 0.08 0.47 0
"7" 0.07 0.73 0.12 0.91 0.77 1
"8" 0.09 0.51 0.53 0.36 0.16 0
"9" 0.1 0.28 0.56 0.9 0.75 0
"10" 0.11 0.62 0.93 0.24 0.33 0
"11" 0.12 0.78 0.04 0.74 0.94 1
"12" 0.16 0.6 0.28 0.14 0.33 0
"13" 0.17 0.08 0.96 0.3 0.21 0
"14" 0.17 0.23 0.24 0.17 0.39 0
"15" 0.18 0.63 0.6 0.64 0.18 0
"16" 0.19 0.52 0 0.16 0.42 0
"17" 0.22 0.18 0.51 0.1 0.08 0
"18" 0.22 0.61 0.23 0.41 0.37 0
"19" 0.23 0.26 0.57 0.89 0.42 0
"20" 0.25 0.31 0.89 0.82 0.24 0
"21" 0.28 0.92 0.88 0.93 0.93 1
"22" 0.29 0.41 0.65 0.68 0.1 1
"23" 0.31 0.5 0.37 0.46 0.47 1
"24" 0.32 0.36 0.3 0.11 0.82 0
"25" 0.32 0.92 0.9 0.62 0.55 0
"26" 0.32 0.96 0.05 0.41 0.66 1
"27" 0.33 0.06 0.98 0.23 0.85 1
"28" 0.33 0.93 0.85 0.19 0.3 0
"29" 0.35 0.76 0.15 0.18 0.63 0
"30" 0.37 0.32 0.62 0.01 0.26 0
"31" 0.37 0.46 0.18 0.19 0.41 0
"32" 0.38 0.12 0.16 0.15 0.36 0
"33" 0.38 0.28 0.87 0.6 0.65 0
"34" 0.38 0.42 0.15 0.13 0.72 0
"35" 0.38 0.62 0.93 0.2 0.97 0
"36" 0.38 0.72 0.1 0.95 0.53 1
"37" 0.39 0.38 0.08 0.3 0.83 0
"38" 0.39 0.78 0.68 0.72 0.68 0
"39" 0.39 0.96 0.17 0.23 0.99 1
"40" 0.4 0.17 0.55 0.32 0.49 0
"41" 0.4 0.73 0.79 0.9 0.32 1
"42" 0.41 0.17 0.67 0.56 0.64 1
"43" 0.41 0.49 0.53 0.32 0.63 0
"44" 0.42 0.24 0.2 0.24 0.31 0
"45" 0.45 0.28 0.04 0.15 0.86 1
"46" 0.45 0.63 0.14 0.09 0.69 0
"47" 0.46 0.58 0.71 0.88 0.9 0
"48" 0.46 0.87 0.51 0.36 0.97 1
"49" 0.48 0.37 0.48 0.07 0.62 0
"50" 0.48 0.95 0.99 0.86 0.57 0
"51" 0.49 0.13 0.14 0.91 0.15 1
"52" 0.49 0.97 0.47 0.79 0.91 1
"53" 0.51 0.05 0.31 0.78 0.2 0
"54" 0.52 0.01 0.48 0.96 0.87 0
"55" 0.53 0.17 0.56 0.79 0.46 1
"56" 0.54 0.15 0.97 0.85 0.81 1
"57" 0.55 0.23 0.6 0.96 0.66 0
"58" 0.56 0.41 0.75 0.27 0.22 0
"59" 0.57 0.59 0.47 0.26 0.77 0
"60" 0.58 0.04 0.44 0.28 0.81 1
"61" 0.59 0.11 0.64 0.98 0.55 1
"62" 0.59 0.13 0.11 0.81 0.7 0
"63" 0.59 0.31 0.36 0.16 0.51 0
"64" 0.61 0.2 0.91 0.51 0.23 0
"65" 0.63 0.03 0.44 0.69 0.3 1
"66" 0.64 0.06 0.01 0.45 0.65 0
"67" 0.64 0.29 0.52 0.11 0.84 0
"68" 0.65 0.36 0.9 0.84 0.37 0
"69" 0.65 0.8 0.04 0.67 0.5 1
"70" 0.67 0.02 0.97 0.97 0.51 1
"71" 0.67 0.07 0.68 0.12 0.16 0
"72" 0.68 0.09 0.69 0.47 0.38 0
"73" 0.68 0.36 0.63 0.9 0.95 0
"74" 0.69 0.25 0.69 0.5 0.53 0
"75" 0.69 0.79 0.17 0.41 0.75 1
"76" 0.7 0.07 0.59 0.28 0.12 0
"77" 0.7 0.65 0.51 0.53 0.53 0
"78" 0.71 0.61 0.99 0.51 0.11 1
"79" 0.72 0.1 0.57 0.22 0.73 1
"80" 0.79 0.78 0.6 0.31 0.11 0
"81" 0.83 0.62 0.94 0.98 0.5 1
"82" 0.83 0.97 0.61 0.49 0.87 1
"83" 0.84 0.7 0.97 0.49 0.76 1
"84" 0.85 0.09 0.47 0.19 0.24 0
"85" 0.85 0.62 0.46 0.41 0.61 1
"86" 0.86 0.44 0.08 0.23 0.02 0
"87" 0.86 0.54 0.79 0.33 0.32 0
"88" 0.87 0.37 0.24 0.48 0.83 1
"89" 0.87 0.63 0.5 0.62 0.72 1
"90" 0.88 0.18 0.9 0.09 0.49 1
"91" 0.88 0.85 0.85 0.02 0.84 1
"92" 0.89 0.86 0.34 0.89 0.69 1
"93" 0.92 0.11 0.86 0.79 0.39 1
"94" 0.93 0.8 0.14 0.17 0.53 1
"95" 0.95 0.72 0.75 0.93 0.84 1
"96" 0.96 0.42 0.33 0.78 0.53 0
"97" 0.97 0.52 0.31 0.44 0.63 0
"98" 0.98 0.07 0.86 0.52 0.73 1
"99" 0.99 0.54 0.75 0.3 0.36 0
"100" 0.99 0.56 0.38 0.64 0.16 1
