"x1" "x2" "x3" "x4" "x5" "y"
"1" 0.01 0.34 0.85 0.73 0.01 0
"2" 0.01 0.98 0.9 0.15 0.13 0
"3" 0.02 0.13 0.55 0.93 0.08 0
"4" 0.02 0.72 0.89 0.77 0.4 1
"5" 0.03 0.06 0.57 0.24 0.82 0
"6" 0.03 0.11 0.86 0.51 0.65 0
"7" 0.03 0.22 0.65 0.26 0.05 0
"8" 0.03 0.59 0.54 0.77 0.65 0
"9" 0.05 0.03 0.91 0.81 0.57 0
"10" 0.07 0.64 0.98 0.61 0.42 1
"11" 0.07 0.96 0.88 0.59 0.53 1
"12" 0.12 0.2 0.39 0.81 0.27 0
"13" 0.13 0.67 0.7 0.54 0.43 1
"14" 0.13 0.72 0.17 0.62 0.63 1
"15" 0.14 0.54 0.14 0.16 0.33 0
"16" 0.15 0.81 0.61 0.61 0.51 0
"17" 0.15 0.95 0.72 0.43 0.19 1
"18" 0.18 0.34 0.88 0.38 0.02 0
"19" 0.18 0.61 0.21 0.03 0.38 0
"20" 0.22 0.22 0.39 0.42 0.15 1
"21" 0.22 0.47 0.08 0.6 0.66 0
"22" 0.22 0.9 0.95 0.57 0.33 0
"23" 0.23 0.87 0.95 0.48 0.12 1
"24" 0.24 0.18 0.66 0.21 0.36 0
"25" 0.25 0.03 0.52 0.21 0.41 0
"26" 0.25 0.06 0.38 0.63 0.32 0
"27" 0.26 0.1 0.5 0.31 0.74 0
"28" 0.26 0.29 0.6 0.45 0.51 0
"29" 0.27 0.13 0.81 0.57 0.93 1
"30" 0.27 0.41 0.91 0.48 0.4 0
"31" 0.28 0.84 0.22 0.22 0.92 1
"32" 0.29 0.58 0.3 0.72 0.76 0
"33" 0.29 0.73 0.58 0.48 0.17 1
"34" 0.3 0.03 0.46 0.13 0.93 0
"35" 0.31 0.48 0.4 0.34 0.71 0
"36" 0.32 0.03 0.22 0.62 0.8 0
"37" 0.33 0.05 0.49 0.39 0.09 0
"38" 0.33 0.74 0.45 0.28 0.18 0
"39" 0.33 0.86 0.65 0.32 0.45 0
"40" 0.34 0.14 0.48 0.6 0.41 0
"41" 0.35 0.83 0.74 0.05 0.66 1
"42" 0.37 0.19 0.68 0.16 0.83 1
"43" 0.37 0.3 0.77 0.27 0.19 0
"44" 0.37 0.7 0.67 0.44 0.74 1
"45" 0.38 0.24 0.96 0.75 0.82 1
"46" 0.39 0.35 0.69 0.72 0.57 1
"47" 0.39 0.95 0.62 0.11 0.28 0
"48" 0.4 0.02 0.8 0.82 0.41 0
"49" 0.4 0.07 0.72 0.67 0.53 0
"50" 0.42 0.56 0.02 0.61 0.61 1
"51" 0.43 0.94 0.21 0.28 0.46 1
"52" 0.44 0.98 0.49 0.77 0.1 0
"53" 0.45 0.37 0.92 0.9 0.19 0
"54" 0.46 0.55 0.2 0.08 0.11 0
"55" 0.47 0.49 0.5 0.5 0.83 0
"56" 0.49 0.57 0.77 0.91 0.53 1
"57" 0.5 0.14 0.45 0.57 0.85 1
"58" 0.5 0.66 0.08 0.95 0.1 1
"59" 0.51 0.9 0.62 0.19 0.43 1
"60" 0.51 0.99 0.57 0.22 0.08 0
"61" 0.52 0.18 0.77 0.3 0.74 1
"62" 0.52 0.47 0.75 0.34 0.2 1
"63" 0.52 0.48 0.88 0.96 0.71 1
"64" 0.55 0.59 0.36 0.66 0.06 0
"65" 0.57 0.56 0.06 0.05 0.56 1
"66" 0.58 0.5 0.83 0.86 0.42 0
"67" 0.6 0.44 0.93 0.11 0.05 0
"68" 0.6 0.94 0.77 0.51 0.2 1
"69" 0.65 0.12 0.31 0.5 0.7 1
"70" 0.66 0.31 0.69 0.31 0.03 0
"71" 0.66 0.85 0.2 0.07 0.54 0
"72" 0.68 0.04 0.21 0.73 0.96 0
"73" 0.68 0.27 0.99 0.19 0.26 0
"74" 0.71 0.83 0.15 0.69 0.37 1
"75" 0.72 0.41 0.17 0.66 0.69 1
"76" 0.73 0.21 0.22 0.04 0 0
"77" 0.75 0.38 0.45 0.05 0.65 1
"78" 0.75 0.8 0.87 0.15 0.32 0
"79" 0.76 0.7 0.76 0.07 0.25 0
"80" 0.8 0 0.75 0.88 0.21 1
"81" 0.82 0.3 0.66 0.68 0.8 1
"82" 0.82 0.82 0.05 0.15 0.66 1
"83" 0.83 0.42 0.68 0.03 1 1
"84" 0.83 0.58 0.07 0.7 0.06 1
"85" 0.84 0.1 0.14 0.31 0.58 0
"86" 0.84 0.47 0.61 0.11 0.59 1
"87" 0.86 0.59 0.06 0.88 0.55 1
"88" 0.87 0.49 0.41 0.98 0.79 1
"89" 0.87 0.64 0.53 0.98 0.62 1
"90" 0.9 0.26 0.54 0.38 0.81 0
"91" 0.9 0.61 0.4 0.49 0.87 1
"92" 0.92 0.8 0.45 0.73 0.18 0
"93" 0.96 0.58 0.99 0.16 0.49 0
"94" 0.96 0.97 0.48 0.25 0.19 0
"95" 0.97 0.48 0.32 0.04 0.01 0
"96" 0.97 0.75 0.85 0.44 0.58 0
"97" 0.97 1 0.04 0.02 0.29 0
"98" 0.98 0.32 0.13 0.3 0.47 0
"99" 0.98 0.5 0.2 0.91 0.39 1
"100" 0.99 0.81 0.6 0.94 0.29 1
