"x1" "x2" "x3" "x4" "x5" "y"
"1" 0 0.93 0.2 0.76 0.28 0
"2" 0 0.97 0.5 0.67 0.22 0
"3" 0.02 0.14 0.07 0.59 0.83 0
"4" 0.02 0.51 0.15 0.82 0.22 0
"5" 0.05 0.05 0.36 0.95 0.26 0
"6" 0.05 0.21 0.07 0.59 0.66 1
"7" 0.05 0.37 0.67 0.62 0.98 0
"8" 0.07 0.14 0.71 0.22 0.29 0
"9" 0.12 0.94 0.18 0.05 0.78 1
"10" 0.12 0.95 0.64 0.17 0.62 0
"11" 0.13 0.27 0.52 0.21 0.36 1
"12" 0.13 0.78 0.09 0.03 0.13 0
"13" 0.13 0.96 0.4 0.47 0.57 0
"14" 0.15 0.06 0.21 0.11 0.16 0
"15" 0.16 0.42 0.34 0.13 0.61 1
"16" 0.16 0.6 0.51 0.73 0.72 1
"17" 0.17 0.38 0.77 0.3 0.75 0
"18" 0.19 0.11 0.59 0.69 0.17 0
"19" 0.2 0.67 0.8 0.33 0.58 1
"20" 0.21 0.78 0.09 0.24 0.29 0
"21" 0.22 0.44 0.06 0.34 0.47 0
"22" 0.24 0.63 0.63 0.63 0.09 1
"23" 0.28 0.14 0.77 0.56 0.82 0
"24" 0.28 0.67 0.25 0.12 0.45 1
"25" 0.29 0.43 0.4 0.23 0.51 0
"26" 0.3 0.35 0.69 0.82 0.89 0
"27" 0.31 0.87 0.57 0.71 0.7 1
"28" 0.33 0.52 0.35 0.59 0.59 1
"29" 0.34 0.71 0.84 0.11 0.91 1
"30" 0.35 0.98 0.72 0.77 0.15 1
"31" 0.36 0.62 0 0.68 0.18 1
"32" 0.36 0.97 0.63 0.88 0.89 0
"33" 0.37 0.26 0.87 0.16 0.81 1
"34" 0.37 0.51 0.45 0.55 0.06 0
"35" 0.38 0.89 0.25 0.18 0.98 1
"36" 0.39 0.28 0.33 0.54 0.05 0
"37" 0.4 0.08 0.29 0.62 0.86 0
"38" 0.4 0.63 0.81 0.76 0.4 0
"39" 0.41 0.13 0.11 0.01 0.66 0
"40" 0.42 0.13 0.04 0.03 0.14 0
"41" 0.44 0.19 0.01 0.79 0.14 1
"42" 0.44 0.3 0.19 0.24 0.53 0
"43" 0.46 0.92 0.12 0.16 0.98 1
"44" 0.48 0.88 0.99 0.88 0.11 1
"45" 0.49 0.2 0.21 0.47 0.05 0
"46" 0.49 0.48 0.32 0.42 0.22 1
"47" 0.49 0.88 0.54 0.5 0.74 1
"48" 0.51 0.57 0.82 0.74 0.14 1
"49" 0.53 0.09 0.21 0.86 0.52 0
"50" 0.53 0.93 0.8 0.95 0.2 1
"51" 0.54 0.31 0.73 0.39 0.19 1
"52" 0.56 0.62 0.34 0.65 0.36 1
"53" 0.57 0.3 0.93 0.79 0.54 1
"54" 0.58 0.32 0.34 0.97 0.22 1
"55" 0.58 0.35 0.02 0.34 0.88 0
"56" 0.59 0.06 0.31 0.06 0.43 0
"57" 0.59 0.47 0.47 0.46 0.84 1
"58" 0.59 0.71 0.72 0.81 0.05 1
"59" 0.61 0.04 0.86 0.06 0.36 1
"60" 0.61 0.35 0.67 0.5 0.29 1
"61" 0.61 0.63 0.32 0.78 0.63 0
"62" 0.62 0.31 0.13 0.86 0.71 1
"63" 0.63 0.61 0.98 0.54 0.25 0
"64" 0.64 0.37 0.96 0.44 0.18 0
"65" 0.64 0.48 0.83 0.16 0 0
"66" 0.64 0.78 0.08 0.57 0.43 1
"67" 0.64 0.97 0.6 0.97 0.93 1
"68" 0.66 0.14 0.14 0.36 0.45 0
"69" 0.66 0.9 0.71 0.54 0.43 1
"70" 0.67 0.77 0.45 0.79 0.65 0
"71" 0.68 0.22 0.82 0.72 0.48 1
"72" 0.69 0.58 0 0.49 0.28 0
"73" 0.69 0.72 0.38 0.24 0.06 0
"74" 0.71 0.18 0.55 0.51 0.64 1
"75" 0.72 0.94 0.82 0.14 0 0
"76" 0.73 0.69 0.39 0.66 0.65 1
"77" 0.74 0.1 0.78 0.62 0.39 1
"78" 0.75 0.43 0.81 0.61 0.73 1
"79" 0.78 0.39 0.18 0.17 0.58 0
"80" 0.79 0.15 0.28 0.99 0.36 1
"81" 0.79 0.21 0.38 0.7 0.93 1
"82" 0.83 0.03 0.32 0.55 0.64 0
"83" 0.83 0.4 0.52 0.73 0.08 1
"84" 0.83 0.45 0.67 0.45 0.43 1
"85" 0.85 0.44 0.42 0.42 0.75 0
"86" 0.87 0.09 0.74 0.86 0.15 1
"87" 0.88 0.4 0.58 0.57 0.85 0
"88" 0.89 0.77 0.23 0.04 0.81 1
"89" 0.89 0.87 0.54 0.49 0.79 1
"90" 0.9 0.58 0.67 0.97 0.29 1
"91" 0.91 0.38 0.2 0.53 0.23 0
"92" 0.91 0.76 0.37 0.3 0.58 1
"93" 0.94 0.36 0.75 0.87 0.95 1
"94" 0.94 0.7 0.79 0.23 0.5 1
"95" 0.95 0.82 0.98 0.44 0.41 0
"96" 0.96 0.25 0.43 0.35 0.9 0
"97" 0.97 0.17 0.97 0.09 0.93 1
"98" 0.98 0.03 0.29 0.58 0.92 1
"99" 1 0.34 0.64 0.65 0.08 0
"100" 1 0.88 0.28 0.06 0.2 0
