"x1" "x2" "x3" "x4" "x5" "y"
"1" 0 0.01 0.04 0.9 0.51 0
"2" 0 0.23 0.01 0.14 0.46 0
"3" 0 0.96 0.39 0.36 0.52 0
"4" 0.01 0.22 0.42 0.8 0.77 0
"5" 0.03 0.14 0.68 0.73 0.25 0
"6" 0.03 0.35 0.01 0.25 0.64 0
"7" 0.03 0.92 0.5 0 0.79 0
"8" 0.04 0.85 0.46 0.89 0.74 1
"9" 0.06 0.15 0.16 0.08 0.61 0
"10" 0.06 0.91 0.54 0.9 0.72 1
"11" 0.06 0.95 0.6 0.94 0.94 1
"12" 0.07 0.81 0.21 0.63 0.31 0
"13" 0.09 0.38 0.31 0.69 0.22 0
"14" 0.12 0.29 0.53 0.58 0.19 0
"15" 0.14 0.11 0.49 0.02 0.95 0
"16" 0.14 0.71 0.82 0.4 0.69 1
"17" 0.15 0.29 0.14 0.59 0.66 0
"18" 0.15 0.32 0.28 0.61 0.36 0
"19" 0.16 0.92 0.8 0.46 0.72 1
"20" 0.18 0.98 0.65 0.16 0.09 0
"21" 0.19 0.18 0.75 0.94 0.19 0
"22" 0.2 0.85 1 0.8 1 1
"23" 0.21 0.02 0.46 0.53 0.39 0
"24" 0.21 0.23 0.24 0.21 0.24 0
"25" 0.21 0.66 0.56 0.1 0.86 1
"26" 0.22 0.05 0.89 0.63 0.48 0
"27" 0.24 0.53 0.7 0.22 0.15 0
"28" 0.25 0.42 0.94 0.28 0.89 1
"29" 0.26 0.57 0.88 0.03 0.23 0
"30" 0.26 0.98 0.98 0.68 0.96 1
"31" 0.28 0.68 0.59 0.57 0.21 1
"32" 0.29 0.78 0.19 0.79 0.87 1
"33" 0.32 0.83 0.15 0.92 0.29 0
"34" 0.33 0.02 0.79 0.7 0.02 0
"35" 0.33 0.6 0.57 0.57 0.41 1
"36" 0.35 0.16 0.58 0.38 0.4 1
"37" 0.35 0.19 0.9 0.82 0.73 0
"38" 0.36 0.18 0.28 0.25 0.89 0
"39" 0.37 0.4 0.74 0.26 0.22 0
"40" 0.37 0.75 1 0.51 0.5 0
"41" 0.39 0.73 0.43 0.03 0.41 0
"42" 0.4 0.25 0.14 0.47 0.9 0
"43" 0.41 0.32 0.35 0.16 0.12 0
"44" 0.41 0.91 0.91 0.19 0.84 1
"45" 0.42 0.77 0.91 0.63 0.82 1
"46" 0.43 0.28 0.31 0.64 0.4 1
"47" 0.44 0.53 0.01 0.55 0.98 1
"48" 0.44 0.63 0.48 0.09 0.68 1
"49" 0.45 0.78 0.56 0.84 0.83 1
"50" 0.5 0.58 0.84 0.43 0.87 1
"51" 0.5 0.61 0.49 0.26 0.02 0
"52" 0.51 0.66 0.88 0.14 0.52 0
"53" 0.51 0.99 0.18 0.5 0.68 1
"54" 0.53 0.27 0.25 0.78 0.18 0
"55" 0.53 0.45 0.94 0.13 0.82 1
"56" 0.53 0.65 0.77 0.52 0.67 1
"57" 0.56 0.13 0.01 0.5 0.67 0
"58" 0.57 0.63 0.57 0.22 0.55 1
"59" 0.6 0.01 0.5 0.49 0.03 0
"60" 0.6 0.37 0.36 0.48 0.01 1
"61" 0.6 0.69 0.62 0.44 0.57 0
"62" 0.61 0.05 0.22 0.84 0.64 1
"63" 0.61 0.22 0.83 0.26 0.26 0
"64" 0.62 0.58 0.05 0.15 0.42 0
"65" 0.62 0.73 0.9 0.8 0.4 1
"66" 0.64 0.32 0.27 0.23 0.94 0
"67" 0.64 0.9 0.6 0.94 0.01 1
"68" 0.67 0.46 0.78 0.74 0.92 1
"69" 0.68 0.81 0.05 0.03 0.85 1
"70" 0.69 0.72 0.66 0.33 0.29 0
"71" 0.7 0.85 0.59 0.89 0.16 1
"72" 0.72 0.09 0.07 0.94 0.85 1
"73" 0.73 0.27 0.81 0.54 0.46 1
"74" 0.76 0.4 0.63 0.78 0.21 1
"75" 0.77 0.43 0.09 0.71 0.41 1
"76" 0.77 0.5 0.69 0.75 0.69 1
"77" 0.77 0.6 0.6 0.7 0.61 0
"78" 0.78 0.16 0.23 0.47 0.8 0
"79" 0.78 0.24 0.41 0.19 0.19 0
"80" 0.78 0.41 0.1 0.05 0.36 1
"81" 0.78 0.93 0.43 0.69 0.09 1
"82" 0.79 0.81 0.5 0.91 0.47 1
"83" 0.8 0.51 0.38 0.77 0.32 1
"84" 0.83 0.75 0.11 0.84 0.01 1
"85" 0.83 0.87 0.59 0.56 0.62 1
"86" 0.84 0.72 0.22 0.93 0.47 1
"87" 0.86 0.68 0.98 0.43 0.55 1
"88" 0.86 0.78 0.18 0.77 0.43 1
"89" 0.87 0.86 0.14 0.08 0.94 1
"90" 0.89 0.8 0.18 0.47 0.41 1
"91" 0.91 0.33 0.97 0.31 0.9 1
"92" 0.91 0.41 0.21 0.62 0.84 0
"93" 0.92 0.44 0.68 0.16 0.66 0
"94" 0.93 0.88 0.08 0.03 0.08 0
"95" 0.95 0.59 0.39 0.76 0.33 1
"96" 0.95 0.9 0.95 0.29 0.98 1
"97" 0.97 0.11 0.44 0.61 0.24 1
"98" 0.98 0.67 0.32 0.41 0 1
"99" 0.99 0.81 0.02 0.47 0.32 0
"100" 1 0.35 0.94 0.78 0.22 1
