"x1" "x2" "x3" "x4" "x5" "y"
"1" 0.04 0.57 0.64 0.74 0.94 1
"2" 0.06 0.37 0.91 0.49 0.81 0
"3" 0.07 0.06 0.33 0.19 0.41 0
"4" 0.08 0.85 0.16 0.36 0.17 0
"5" 0.1 0.14 0.66 0.29 0.84 0
"6" 0.1 0.82 0.41 0.27 0.98 1
"7" 0.12 0.31 0.53 0.6 0.1 0
"8" 0.16 0.47 0.38 0.59 0.15 0
"9" 0.16 0.81 0.25 0.06 0.97 1
"10" 0.17 0.83 0.98 0.12 0.27 0
"11" 0.18 0.32 0.89 0.64 0.42 0
"12" 0.22 0.14 0.33 0.45 0.87 0
"13" 0.23 0.92 0.4 0.99 0.61 0
"14" 0.24 0.53 0.5 0.85 0.47 1
"15" 0.25 0.13 0.61 0.41 0.92 0
"16" 0.25 0.45 0.27 0.48 0.44 1
"17" 0.26 0.57 0.42 0.23 0.02 0
"18" 0.27 0.53 0.67 0.7 0.36 0
"19" 0.27 0.75 0.09 0.22 0.75 1
"20" 0.29 0.68 0.33 0.24 0.32 0
"21" 0.3 0.13 0.36 0.11 0.14 0
"22" 0.3 0.37 0.96 0.42 0.82 0
"23" 0.31 0.49 0.39 0.55 0.88 1
"24" 0.31 0.78 0.75 0.22 0.91 1
"25" 0.32 0.25 0.77 0.46 0.39 1
"26" 0.32 0.92 0.23 0.5 0.74 1
"27" 0.33 0.73 0.43 0.4 0.45 1
"28" 0.34 0.18 0.97 0.45 0.62 1
"29" 0.35 0.94 0.29 0.6 0.36 0
"30" 0.36 0.03 0.78 0.06 0.97 1
"31" 0.36 0.05 0.86 0.36 0.78 0
"32" 0.36 0.3 0.41 0.29 0.67 0
"33" 0.36 0.79 0.5 0.87 0.69 1
"34" 0.38 0.68 0.89 0.91 0.94 0
"35" 0.38 0.72 0.15 0.23 0.31 0
"36" 0.39 0.58 0.1 0.23 0.34 0
"37" 0.39 0.8 0.57 0.98 0.29 1
"38" 0.4 0.37 0.53 0.07 0.34 0
"39" 0.4 0.56 0.32 0.45 0.46 1
"40" 0.42 0.36 0.12 0.09 0.76 0
"41" 0.45 0.88 0.71 0.51 0.36 0
"42" 0.46 0.26 0.86 0.61 0.92 1
"43" 0.46 0.55 0.84 0.07 0.77 0
"44" 0.47 0.71 0.58 0.82 0.55 0
"45" 0.48 0.75 0.39 0.78 0.42 1
"46" 0.48 0.8 0.59 0.45 1 1
"47" 0.5 0.26 0.78 0.04 0.24 0
"48" 0.5 0.92 0.74 0.61 0.55 1
"49" 0.5 0.97 0.43 0.22 0.13 0
"50" 0.51 0.38 0.25 0.8 0.63 0
"51" 0.52 0.18 0 0.94 0.73 1
"52" 0.53 0.25 0.26 0.71 0.73 1
"53" 0.53 0.58 0.44 0.19 0.54 1
"54" 0.54 0.39 0.7 0.13 0.98 1
"55" 0.55 0.43 0.57 0.28 0.04 0
"56" 0.56 0.62 0.59 0.26 0.91 1
"57" 0.57 0.71 0.7 0.03 0.77 1
"58" 0.58 0.86 0 0.44 0.48 1
"59" 0.59 0.54 0.31 0.53 0.44 0
"60" 0.61 0.5 0.01 0.66 0.53 0
"61" 0.63 0.34 0.94 0.78 0.16 1
"62" 0.63 0.42 0.76 0.59 0.34 1
"63" 0.63 0.76 0.37 0.68 0.92 1
"64" 0.63 0.78 0.71 0.66 0.89 1
"65" 0.64 0.02 0.44 0.91 0.82 1
"66" 0.67 0.27 0.73 0.48 0.11 1
"67" 0.68 0.14 0.61 0.35 0.78 1
"68" 0.69 0.39 0.91 0.97 0.47 1
"69" 0.69 0.68 0.48 0.93 0.48 0
"70" 0.7 0.1 0.05 0.56 0.14 0
"71" 0.7 0.27 0.63 0.89 0.77 1
"72" 0.71 0.81 0.82 0.85 0.89 1
"73" 0.73 0.33 0.66 0.31 0.05 0
"74" 0.73 0.63 0.75 0.47 0.7 1
"75" 0.74 0.14 0.87 0.65 0.94 1
"76" 0.75 0.77 0.82 0.14 0.38 0
"77" 0.76 0.8 0.5 0.74 0.87 1
"78" 0.77 0.05 0.61 0.71 0.79 1
"79" 0.78 0.28 0.52 0.92 0.16 1
"80" 0.79 0.44 0.54 0.18 0.91 0
"81" 0.8 0.13 0.67 0.28 0.45 0
"82" 0.81 0.38 0.64 0.57 0.34 1
"83" 0.83 0.12 0.17 0.07 0.13 1
"84" 0.83 0.89 0.85 0.31 0.7 1
"85" 0.88 0.8 0.75 0.21 0.06 0
"86" 0.91 0.07 0.87 0.37 0.18 1
"87" 0.91 0.59 0.27 0.4 0.58 0
"88" 0.91 0.79 0.4 0.94 0.69 1
"89" 0.92 0.08 0.01 0.13 0.03 0
"90" 0.92 0.1 0.62 0.3 0.16 0
"91" 0.92 0.57 0.45 0.38 0.51 0
"92" 0.93 0.49 0.93 0.57 0.59 1
"93" 0.93 0.84 0.47 0.24 0.08 0
"94" 0.94 0.7 0.53 0.96 0.2 1
"95" 0.94 0.87 0.76 0.25 0.59 0
"96" 0.94 0.97 0.87 0.58 0.5 1
"97" 0.98 0.08 0.35 0.03 0.47 0
"98" 0.99 0.19 0.15 0.91 0.95 1
"99" 0.99 0.5 0.31 0.69 0.73 1
"100" 1 0.98 0.24 0.03 0.31 0
