"x1" "x2" "x3" "x4" "x5" "y"
"1" 0.01 0.2 0.2 0.03 0.34 0
"2" 0.01 0.31 0.53 0.02 0.72 0
"3" 0.01 0.39 0.19 0.81 0.82 0
"4" 0.03 0.73 0.66 0.19 0.46 1
"5" 0.04 0.09 0.02 0.66 0.8 0
"6" 0.05 0.94 0.3 0.58 0.91 1
"7" 0.06 0.21 0.69 0.24 0.7 0
"8" 0.06 0.3 0.85 0.93 0.29 0
"9" 0.07 0.59 0.41 0.89 0.5 1
"10" 0.07 0.66 0.98 0.41 0.15 0
"11" 0.09 0.02 0.09 0.44 0.79 0
"12" 0.09 0.51 0.94 0.97 0.42 0
"13" 0.1 0.21 0.35 0.29 0.93 0
"14" 0.1 0.34 0.48 0.32 0.15 1
"15" 0.1 0.91 0.04 0.23 0.97 1
"16" 0.12 0.26 0.54 0.06 0.62 0
"17" 0.14 0.51 0.51 0.92 0.43 0
"18" 0.14 0.66 0.67 0.53 0.39 1
"19" 0.15 0.37 0.46 0.53 0.59 1
"20" 0.16 0.61 0.03 0.26 0.95 1
"21" 0.18 0.67 0.1 0.43 0.18 0
"22" 0.19 0.38 0.12 0.91 0.9 1
"23" 0.2 0.68 0 0.94 0.55 0
"24" 0.21 0.32 0.82 0.53 0.07 0
"25" 0.21 0.48 0.47 0.1 0.36 0
"26" 0.22 0.76 0.86 0.46 0.67 1
"27" 0.23 0.39 0.75 0.67 0.6 0
"28" 0.23 0.73 0.62 0.85 0.41 0
"29" 0.24 0.06 0.49 0.99 0.11 0
"30" 0.24 0.72 0.35 0.96 0.97 0
"31" 0.25 0.1 0.31 0.33 0.59 0
"32" 0.25 0.34 0.41 0.59 0.26 0
"33" 0.25 0.48 0.18 0.84 0.99 0
"34" 0.25 0.68 0.46 0.5 0.99 1
"35" 0.26 0.44 0.11 0.75 0.58 0
"36" 0.26 0.51 0.35 0.43 0.07 1
"37" 0.27 0.92 0.7 0.63 0.33 0
"38" 0.28 0.53 0.36 0.95 0.16 0
"39" 0.3 0.36 0.36 0.49 0.54 1
"40" 0.33 0.64 0.72 0.25 0.84 1
"41" 0.33 0.69 0.35 0.39 0.99 1
"42" 0.34 0.04 0.43 0.41 0.34 0
"43" 0.37 0.48 0.58 0.82 0.56 1
"44" 0.4 0.44 0.4 0.84 0.63 0
"45" 0.41 0.23 0.5 0.44 0.9 1
"46" 0.41 0.48 0.61 0.35 0.01 0
"47" 0.41 0.99 0.5 0.78 0.19 1
"48" 0.43 0.28 0.52 0.05 0.04 0
"49" 0.44 0.12 0.59 0.25 0.83 1
"50" 0.45 0.51 0.24 0.43 0.04 1
"51" 0.48 0.47 0.84 0.19 0.48 0
"52" 0.48 0.6 0.92 0.2 0.18 0
"53" 0.51 0.02 0 0.12 0.28 0
"54" 0.51 0.56 0.13 0.34 0.38 1
"55" 0.51 0.76 0.97 0.66 0.95 1
"56" 0.54 0.02 0.61 0.4 0.58 1
"57" 0.58 0.59 0.49 0.55 0.52 1
"58" 0.58 0.78 0.27 0.05 0.34 0
"59" 0.59 0.35 0.67 0.62 0.61 1
"60" 0.59 0.48 0.41 0.84 0.55 1
"61" 0.59 0.8 0.29 0.12 0.13 0
"62" 0.6 0.64 0.66 0.44 0.89 0
"63" 0.61 0.74 0.13 0.82 0.46 1
"64" 0.61 0.85 0.94 0.74 0.72 1
"65" 0.61 0.98 0.95 0.69 0.43 1
"66" 0.62 0.16 0.9 0.55 0.08 1
"67" 0.63 0.14 0.85 0.76 0.39 1
"68" 0.64 0.33 0.65 0.43 0.92 1
"69" 0.64 0.58 0.13 0.53 0.45 0
"70" 0.64 0.68 0.66 0.19 0.56 0
"71" 0.65 0.5 0.17 0.6 0.95 0
"72" 0.65 0.72 0.76 0.39 0.33 1
"73" 0.66 0.14 0.97 0.75 0.04 1
"74" 0.66 0.96 0.74 0.99 0.14 1
"75" 0.67 0.6 0.36 0.02 0.64 1
"76" 0.67 0.74 0.88 0.29 0.49 0
"77" 0.68 0.48 0.31 0.63 0.31 0
"78" 0.69 0.37 0.87 0.7 0.96 1
"79" 0.69 0.59 0.7 0.58 0.98 1
"80" 0.69 0.75 0.18 0.38 0.35 1
"81" 0.71 0.22 0.96 0.45 0.67 0
"82" 0.73 0.95 0.58 0.19 0.12 0
"83" 0.75 0.52 0.38 0.86 0.32 1
"84" 0.77 0.14 0.44 0.33 0.02 0
"85" 0.77 0.96 0.5 0.05 0.13 0
"86" 0.78 0.5 0.07 0.46 0.27 0
"87" 0.79 0.22 0.23 0.46 0.59 0
"88" 0.79 0.89 0.1 0.19 0.12 0
"89" 0.81 0.4 0.28 0.3 0.97 0
"90" 0.84 0.81 0.88 0.97 0.76 1
"91" 0.86 0.69 0.55 0.84 0.07 1
"92" 0.88 0.86 0.2 0.5 0.25 0
"93" 0.91 0.32 0.66 0.99 0.45 1
"94" 0.91 0.99 0.32 0.21 0.02 0
"95" 0.93 0.88 0.15 0.71 0.97 1
"96" 0.94 0.99 0.43 0.9 0.71 1
"97" 0.95 0.92 0.72 0.02 0.1 0
"98" 0.96 0.31 0.19 0.27 0.14 0
"99" 0.97 0.11 0.88 1 0.14 1
"100" 0.99 0.23 0.91 0.54 0.33 0
