"x1" "x2" "x3" "x4" "x5" "y"
"1" 0 1 0.7 0.82 0.18 1
"2" 0.03 0.04 0.12 0.74 0.86 0
"3" 0.03 0.37 0.59 0.27 0.1 0
"4" 0.04 0.11 0.76 0.18 0.06 0
"5" 0.04 0.51 0.7 0.32 0.58 0
"6" 0.04 0.72 0.34 0.81 0.13 0
"7" 0.11 0.19 0.21 0.66 0.12 0
"8" 0.12 0.44 0.76 0.86 0.83 0
"9" 0.12 0.95 0.72 0.96 0.12 1
"10" 0.16 0.51 0.27 0.08 0.45 0
"11" 0.19 0.71 0.89 0.6 0.22 1
"12" 0.2 0.91 0.86 0.46 0.61 1
"13" 0.21 0.54 0.01 0.52 0.99 1
"14" 0.22 0.29 0.43 0.79 0.32 0
"15" 0.22 0.76 0.62 0.2 0.39 0
"16" 0.22 0.86 0.64 0.73 0.55 1
"17" 0.23 0.82 0.31 0.79 0.63 1
"18" 0.24 0.03 0.65 0.39 0.22 0
"19" 0.24 0.84 0.15 0.02 0.31 0
"20" 0.25 0.05 0.8 0.82 0.54 0
"21" 0.25 0.92 0.47 0.48 0.45 0
"22" 0.25 0.93 0.42 0.69 0.27 0
"23" 0.26 0.11 0.99 0.24 0.75 0
"24" 0.27 0.6 0.03 0.36 0.38 0
"25" 0.31 0.41 0.87 0.61 0.11 0
"26" 0.32 0.22 0.11 0.58 0.62 0
"27" 0.34 0.28 0.26 0.17 0.82 1
"28" 0.34 0.59 0.33 0.33 0.76 1
"29" 0.34 0.59 0.5 0.23 0.2 0
"30" 0.34 0.74 0.19 0.07 0.06 0
"31" 0.35 0.16 0.63 0.9 0.87 0
"32" 0.35 0.8 0.86 0.05 0.41 0
"33" 0.37 0.98 0.18 0.2 0.58 0
"34" 0.38 0.2 0.47 0.68 0.35 0
"35" 0.38 0.47 0.39 0.64 0.46 0
"36" 0.38 0.48 0.2 0.62 0.49 0
"37" 0.38 0.56 0.54 0.7 0.43 1
"38" 0.39 0.09 0.52 0.47 0.92 1
"39" 0.39 0.14 0.16 0.64 0.75 0
"40" 0.39 0.71 0.28 0.9 0.42 0
"41" 0.39 0.83 0.48 0.58 0.7 1
"42" 0.4 0.2 0.05 0.62 0.9 1
"43" 0.4 0.83 0.46 0.12 0.32 1
"44" 0.41 0.29 0.73 0.63 0.37 1
"45" 0.42 0.75 0.77 0.16 0 0
"46" 0.43 0.51 0.79 0.55 0.02 0
"47" 0.43 0.58 0.12 0.92 0.06 0
"48" 0.43 0.83 0.66 0.37 0.6 1
"49" 0.43 0.93 0.87 0.89 0.17 1
"50" 0.45 0.25 0.2 0.56 0.71 0
"51" 0.45 0.67 0.64 0.75 0.07 1
"52" 0.45 0.84 0.89 0.25 0.7 1
"53" 0.46 0.21 0.94 0.81 0.75 0
"54" 0.46 0.76 0.36 0.73 0.8 1
"55" 0.47 0.88 0.9 0.84 0.56 1
"56" 0.48 0.94 0.09 0.36 0.14 0
"57" 0.5 0.56 0.18 0.44 0.72 0
"58" 0.51 0.35 0.09 0.78 0.75 0
"59" 0.53 0.91 0.71 0.68 0.27 1
"60" 0.54 0.81 0.22 0.62 0.98 1
"61" 0.56 0.76 0.68 0.91 0.45 0
"62" 0.59 0 0.94 0.95 0.98 0
"63" 0.63 0.08 0.86 0.78 0.26 1
"64" 0.64 0.01 0.64 0.56 0.9 1
"65" 0.66 0.42 0.18 0.98 0.62 0
"66" 0.69 0.59 0.05 0.27 0.16 1
"67" 0.69 0.79 0.92 0.99 0.43 1
"68" 0.69 0.81 0.63 0.29 0.33 0
"69" 0.73 0.18 0.89 0.76 0.23 1
"70" 0.74 0.05 0.36 0.04 0.01 0
"71" 0.76 0.24 0.35 0.47 0.16 1
"72" 0.76 0.56 0.22 0.11 0.1 0
"73" 0.78 0.23 0.68 0.38 0.57 1
"74" 0.78 0.48 0.07 0.99 0.95 1
"75" 0.79 0.86 0.45 0.94 0.98 1
"76" 0.81 0.1 0.76 0.81 0.5 1
"77" 0.81 0.24 0.81 0.07 0.91 1
"78" 0.81 0.54 0.69 0.8 0.99 1
"79" 0.82 0.09 0.89 0.88 0.37 1
"80" 0.83 0.04 0.66 0.16 0.22 0
"81" 0.83 0.18 0.1 0.99 0.83 1
"82" 0.83 0.49 0.81 0.8 0.55 1
"83" 0.84 0.51 0.71 0.11 0.4 0
"84" 0.85 0.68 0.18 0.53 0.77 1
"85" 0.85 0.99 0.94 0.83 0.03 1
"86" 0.86 0.06 0.7 1 0.84 1
"87" 0.86 0.09 0.61 0.92 0.03 1
"88" 0.88 0.57 0.57 0.4 0.38 1
"89" 0.88 0.78 0.02 0.51 0.48 0
"90" 0.89 0.12 0.5 0.64 0.23 1
"91" 0.89 0.26 0.71 0.92 0.69 1
"92" 0.9 0.05 0.71 0.13 0.95 1
"93" 0.94 0.85 0.11 0.98 0.31 1
"94" 0.94 0.92 0.49 0.47 0.8 1
"95" 0.96 0.34 0.06 0.6 0.26 1
"96" 0.96 0.72 0.69 0.94 0.41 1
"97" 0.97 0.49 0.4 0.89 0.36 1
"98" 0.98 0.19 0.44 0.05 0.51 1
"99" 0.98 0.78 0.88 0.64 0.62 0
"100" 0.99 0.81 0.62 0.55 1 1
