"x1" "x2" "x3" "x4" "x5" "y"
"1" 0.04 0.78 0.88 0.44 0.12 0
"2" 0.05 0.43 0.14 0.32 0.35 0
"3" 0.05 0.78 0.7 0.69 0.46 1
"4" 0.06 0.1 0.75 0.82 0.29 0
"5" 0.06 0.7 0.41 0.56 0.26 0
"6" 0.07 0.1 0.8 0.48 0.36 0
"7" 0.09 0.03 0.72 0.54 0.91 0
"8" 0.1 0.05 0.34 0.95 0.49 0
"9" 0.11 0.9 0.68 0.83 0.2 1
"10" 0.17 0.65 0.95 0.29 0.47 1
"11" 0.17 0.71 0.14 0.13 0.73 1
"12" 0.17 0.74 0.7 0.81 0.68 1
"13" 0.17 0.86 0.41 0.83 0.42 0
"14" 0.18 0.1 0.55 0.98 0.69 0
"15" 0.18 0.1 0.81 0.28 0.2 1
"16" 0.19 0.02 0.17 0.26 0.58 0
"17" 0.19 0.1 0.6 0.27 0.88 0
"18" 0.19 0.94 0.19 0.69 0.45 1
"19" 0.21 0.73 0.82 0.39 0.23 0
"20" 0.21 0.77 0.13 0.37 0.27 0
"21" 0.23 0.82 0.38 0.01 0.69 1
"22" 0.24 0.7 0.89 0.54 0.44 1
"23" 0.24 0.97 0.17 0.72 0.53 1
"24" 0.24 0.97 0.39 0.63 0.78 1
"25" 0.25 0.31 0.78 0.56 0.88 0
"26" 0.25 0.68 0.45 0.46 0.03 1
"27" 0.26 0.69 0.51 0.32 0.61 1
"28" 0.28 0.99 0.89 0.35 0.76 1
"29" 0.3 0.38 0.37 0.06 0.01 0
"30" 0.31 0.17 0.48 0.08 0.71 0
"31" 0.31 0.8 0.3 0.47 0.4 0
"32" 0.33 0.87 0.35 0.89 0.14 0
"33" 0.34 0.56 0.14 0.9 0.85 1
"34" 0.34 0.59 0.56 0.85 0.36 1
"35" 0.35 0.19 0.27 0.13 0.05 1
"36" 0.36 0.13 0.08 0.88 0.47 0
"37" 0.38 0.43 0.18 0.54 0.08 0
"38" 0.39 0.15 0.98 0.36 0.01 0
"39" 0.41 0.12 0.22 0.61 0.22 1
"40" 0.41 0.26 0.17 0.84 0.17 1
"41" 0.42 0.07 0.71 0.88 0.51 0
"42" 0.42 0.31 0.97 0.17 0.48 1
"43" 0.43 0.11 0.38 0.15 0.52 0
"44" 0.44 0.09 0.99 0.06 0.16 0
"45" 0.46 0.46 0.34 0.94 0.07 0
"46" 0.47 0.18 0.6 0.63 0.51 0
"47" 0.48 0.09 0.43 0.06 0.16 0
"48" 0.49 0.25 0.95 0.02 0.48 0
"49" 0.49 0.47 0.1 0.45 0.76 0
"50" 0.51 0.96 0.71 0.79 0.87 1
"51" 0.54 0.58 0.18 0.2 0.89 0
"52" 0.55 0.08 0.25 0.45 0.49 0
"53" 0.56 0.83 0.88 0.47 0.93 1
"54" 0.6 0.79 0.35 0.59 0.65 1
"55" 0.61 0.49 0.39 0.37 0.91 1
"56" 0.62 0.23 0.7 0.19 0.21 0
"57" 0.62 0.64 0.32 0.22 0.48 1
"58" 0.63 0.46 0.07 0.82 0.84 1
"59" 0.64 0.57 0.2 0.91 0.43 1
"60" 0.64 0.57 0.84 0.54 0.62 1
"61" 0.65 0.18 0.06 0.85 0.46 1
"62" 0.66 0.98 0.4 0.26 0.35 0
"63" 0.67 0.4 0.15 0.71 0.08 1
"64" 0.68 0.18 0.19 0.11 0.61 0
"65" 0.68 0.92 0.48 0.7 0.46 0
"66" 0.7 0.51 0.3 0.14 0.26 0
"67" 0.7 0.55 0.22 0 0.88 1
"68" 0.7 0.87 0.69 0.32 0.59 0
"69" 0.71 0.57 0.17 0.11 0.71 1
"70" 0.73 0.04 0.97 0.31 0.63 1
"71" 0.73 0.08 0.39 0.14 0.54 0
"72" 0.73 0.35 0.57 0.98 0.69 0
"73" 0.74 0.49 0.79 0.6 0.11 1
"74" 0.75 0.45 0.68 0.56 0.1 1
"75" 0.76 0.14 0.13 0.7 0.1 0
"76" 0.76 0.67 0.83 0.34 0.18 0
"77" 0.77 0.3 0.96 0.79 0.84 1
"78" 0.8 0.84 0.36 0.11 0.93 1
"79" 0.81 0.36 0.67 0.52 0.58 0
"80" 0.81 0.61 0.37 0.16 0.5 1
"81" 0.82 0.18 0.74 1 0.3 1
"82" 0.82 0.24 0.54 0.41 0.42 0
"83" 0.82 0.76 0.43 0.16 0.84 1
"84" 0.84 0.09 0.69 0.92 0.32 1
"85" 0.86 0.15 0.6 0.77 0.88 1
"86" 0.87 0.31 0.52 0.87 0.2 1
"87" 0.9 0.06 0.37 0.98 0.43 1
"88" 0.91 0.86 0.7 0.13 0.55 1
"89" 0.92 0.92 0.14 0.58 0.62 1
"90" 0.93 0.09 0.15 0.44 0.34 1
"91" 0.93 0.14 0.15 0.88 0.71 1
"92" 0.93 0.94 0.15 0.77 0.59 1
"93" 0.94 0.02 0.61 0.69 0.55 1
"94" 0.94 0.25 0.06 0.64 0.2 0
"95" 0.95 0.02 0.7 0.46 0.21 0
"96" 0.95 0.44 0.08 0.47 0.81 0
"97" 0.95 0.44 0.66 0.22 0.27 0
"98" 0.98 0.98 0.72 0.74 0.59 1
"99" 0.99 0.11 0.09 0.39 0.33 0
"100" 0.99 0.42 0.98 0.62 0.71 1
